Attack,Strength,Robust_Acc,Robust_F1,ASR,Relative_Drop,ECE
dummy,0.4,49.74,49.26,47.61,45.74,30.81
dummy,0.7,46.64,46.36,51.67,49.13,33.73
dummy,1.0,44.00,43.60,54.72,52.00,37.15
iat_jitter,0.4,91.67,92.12,0.00,0.00,1.07
iat_jitter,0.7,91.67,92.13,0.00,0.00,1.22
iat_jitter,1.0,91.58,92.05,0.13,0.10,1.25
mixed,0.4,44.17,43.03,54.41,51.82,35.80
mixed,0.7,39.11,36.64,60.24,57.34,41.46
mixed,1.0,33.63,30.40,66.37,63.31,48.81
adaptive,0.4,44.03,43.25,54.69,51.98,35.79
adaptive,0.7,38.31,36.09,60.77,58.21,42.75
adaptive,1.0,33.42,29.64,66.21,63.55,49.11
