Attack,Strength,Robust_Acc,Robust_F1,ASR,Relative_Drop,ECE
padding,0.4,86.24,86.12,2.22,1.31,1.66
padding,0.7,82.44,82.20,7.20,5.67,4.58
padding,1.0,76.49,76.23,14.54,12.48,9.15
dummy,0.4,83.38,83.29,6.59,4.59,2.91
dummy,0.7,79.74,79.66,10.93,8.75,5.39
dummy,1.0,76.54,76.31,15.17,12.42,7.50
mixed,0.4,80.93,80.70,9.60,7.40,4.66
mixed,0.7,74.11,73.80,17.76,15.20,9.79
mixed,1.0,61.72,61.52,31.72,29.37,19.75
adaptive,0.4,80.73,80.47,9.75,7.62,5.20
adaptive,0.7,73.04,72.66,19.01,16.42,10.69
adaptive,1.0,62.87,62.62,30.45,28.06,18.49
