Attack,Strength,Robust_Acc,Robust_F1,ASR,Relative_Drop,ECE
padding,0.4,79.37,79.06,13.81,13.22,7.64
padding,0.7,65.83,65.48,28.90,28.03,19.73
padding,1.0,54.02,52.98,41.89,40.94,31.27
dummy,0.4,59.20,58.31,36.33,35.28,24.53
dummy,0.7,59.08,58.10,36.41,35.41,25.01
dummy,1.0,52.63,51.44,43.25,42.45,30.61
mixed,0.4,54.02,52.30,41.96,40.94,30.12
mixed,0.7,48.71,46.00,47.75,46.75,35.32
mixed,1.0,41.82,37.45,55.26,54.28,41.44
adaptive,0.4,53.88,52.84,41.94,41.09,30.02
adaptive,0.7,47.79,45.11,48.86,47.75,36.54
adaptive,1.0,40.97,37.13,56.21,55.21,42.81
